№,Товар,Ниша,Скор,Рынки,Насыщенность,Вердикт,Сигнал longevity (рекламодатель и дата старта),Закупка USD,Retail USD,Маржа,Конкуренты,Пробел в позиционировании,Целевая аудитория,Риски,Паспорт (бренд)
1,Автооткрыватель банок Jar Genie,пожилые / accessibility,93,US+GB+AU,🟢→🟡,🚀 ЗАПУСКАТЬ,"Stamny с 03.2026, 6+ вариаций, синхронный блиц GB и AU (по 14 объявлений)",5–7,39.99,6–7x,"Stamny (доминатор, «Built for weak hands & arthritis»), Pineapplea (клон), Amazon-аналоги $25 без бренда","Все продают устройство самому пожилому — никто не продаёт детям пожилых («подарок маме, которая не просит помощи»); нет бандла «кухонная независимость»","45–60 (дети пожилых родителей), 65+ напрямую, артрит-сообщества","Моторизованное устройство = процент брака; Stamny агрессивно масштабируется — окно входа месяцы",OpenMate
2,Мемориальное украшение для питомца,personalized gifts,92,US+GB+AU,🟡,🚀 ЗАПУСКАТЬ,"Insgifts с 02.2025; Callie с 07.2025 (7 вариаций, 3 рынка)",3–6,40–70,8–12x,"Callie, Insgifts, Memorial Gifts 4u, giftshare.shop, Silveristic; диапазон $30–80","Лендинги конкурентов — шаблонный дропшип; никто не строит бренд утешения: нет контента о переживании утраты, комьюнити, памятной коробки","Женщины 30–65, владельцы возрастных собак/кошек, pet loss support","Этически чувствительная реклама (модерация Meta), долгая персонализация → жалобы на сроки",Ohana Paws
3,Карточная игра для пар (вопросы),couples & relationships,91,US+AU,🟡,🚀 ЗАПУСКАТЬ,"Parents Are Human с 10.2025; How Deep Will You Go — 3+ объявления с 03.2026; Scenario Cards в AU",1.5–2.5,25–35,10x+,"How Deep Will You Go, Parents Are Human, Scenario Cards, Cupid's, Not Just Sundays; вне скана — We're Not Really Strangers","Заняты сегменты «новая пара» и «спайси»; пусто: пары 50+/empty nesters, пары после рождения ребёнка, неанглоязычная локализация","Женщины 28–55 (покупают для пары), терапевты как аффилиаты","Легко копируется (контент = текст); нужен сильный бренд/дизайн; спайси-версии не делать (halal)",TableTalk Duo (Qalb Talks)
4,Устройство тракции шеи (neck stretcher),posture / health,90,US+GB+AU,🟡,🚀 ЗАПУСКАТЬ,"Desert Mart с 09.2023; KyroLabs с 12.2025 (3 рынка), Kozlic с 06.2025",4–7,40–50,6–8x,"KyroLabs, Vivosleep, Kozlic, Hugterra (advertorial), Desert Mart; диапазон $30–60","Все продают девайс, никто — протокол («14 дней до расправленных плеч»); женский угол «вдовий горбик» трогает только Hugterra","35–60 офис + за рулём; женщины 45+ («горбик»), мужчины 30–45 («голова вперёд»)","Медицинские клеймы (только «снимает напряжение»); возможен вред при патологиях → дисклеймер и мягкая тракция",NeckReset
5,Кастомная картина по номерам (по фото),craft + personalized gifts,90,US+GB+AU,🟡,🚀 ЗАПУСКАТЬ,"My Paint by Numbers с 01.2026 на US+GB+AU; ArtSpark на 3 рынках",4–6,40–50,7–8x,"My Paint by Numbers (custom-лидер), ArtSpark, Figured'Art (GB), Paint By Numbers-Adults (аниме), Diamond Art-игроки рядом","Custom-сегмент сыроват (шаблонный лендинг MPBN); никто не соединил custom-раскраску с памятью/трауром и с парами (date night)","Женщины 25–55, дарители; нулевой skill-барьер","POD-производство в Китае = 2–3 недели доставки; качество печати номеров (мелкие зоны) = негатив",MemoryCanvas
6,Акупрессурный мат + массажный шар,stress relief / recovery,88,US+GB+AU,🟡,👀 СЛЕДИТЬ,"Shakti Mat: GB с 01.2025, AU с 07.2025, US стабильно; WTHN в премиуме",6–9,69–99,7–10x,"Shakti (категорийный король, 20+ объявлений на рынок), WTHN, ProsourceFit на Amazon $20","Shakti = премиум-веллнесс для йога-аудитории; пусто: офисный сегмент с ROI-хуком, мужчины, бандл «домашний массажный кабинет»","28–50 стресс-офис; спортсмены-любители на recovery","Shakti силён брендом; шипы = не для беременных/кожных заболеваний (дисклеймеры)",—
7,Скальп-массажёр (мигрень-угол),skincare tools / health,87,US+GB+AU,🟡,🚀 ЗАПУСКАТЬ,"Bloomly с 01.2025 на 3 рынках; Core Gadgetry MigraEase с 11.2025",6–10,50–70,5–7x,"Halobloom/Bloomly, Core Gadgetry MigraEase, KLAE, ручные грибки на Amazon $8","Amazon завален дешёвкой, DTC продаёт то же за $60 без дифференциации; угол «мигрень/головная боль напряжения» почти пуст (один игрок)","Женщины 25–50 с мигренями/стрессом; вторично — рост волос","«Помогает от мигрени» = медицинский клейм → «снимает напряжение»; нужен продукт-апгрейд против Amazon",TensionEase
8,Щётка от шерсти (Uproot-тип),pet products,87,US+GB+AU,🔴,👀 СЛЕДИТЬ,"Uproot Clean с 07.2025 (в нише годами, Walmart)",2–3,25–30,8–10x,"Uproot Clean (доминатор), Sheddi/zevessa, Pets Dreams UK, Auravos (AU)","Uproot игнорирует: авто-детейлинг, аудиторию 55+ с артритом (эргономичная ручка), бандл «линька-сезон» с подпиской","Владельцы собак/кошек с коврами и авто; детейлеры-любители","Прямое столкновение с Uproot в лоб не выжить; металлическая кромка портит деликатные ткани → возвраты",—
9,Зубная щётка без микропластика,dental + eco,87,US+GB+AU,🟢→🟡,👀 СЛЕДИТЬ,"Primals: вариации v4–v9 с 11.2025, блиц GB/AU с 05.2026 (11–13 объявлений)",0.6–1,"12–15/шт или $8/мес подписка",10x+,"Primals (единственный системный игрок с этим позиционированием), Illume (другой продукт), бамбук-масса без угла","Ниша только формируется; точки входа: детская версия, вся ванная в подписке «microplastic-free bathroom»","Eco-родители 28–45, «нетоксичная» аудитория","Научные клеймы формулировать аккуратно; растительная щетина мягче — жалобы на «нечистое» ощущение",—
10,Антихрап-капа / носовое кольцо,sleep / отношения,86,US+GB+AU,🟡→🔴,👀 СЛЕДИТЬ,"Snorno с 11.2024 на 3 рынках; Honex блиц 3 рынков с 05.2026",2–4,40–70,10x+,"SnoreRx, Good Morning Snore Solution, Snorno, Respyria, Honex + CPAP-индустрия сверху","Все продают храпящему, а покупает партнёр; нет бренда «для неё» и «карты подбора» тип храпа → устройство","Женщины 35–60, покупающие партнёру","Капы = квази-медицинские изделия (FDA-класс для MAD) — юридически тяжелее всего в базе",—
